student_id,source,academic_score,age,attendance_percentage,gender,sleep_hours,social_media_hours,study_hours_per_day
65,productivity,68.27,28,56.21,Female,4.37,4.73,4.78
66,productivity,67.53,28,74.06,Female,4.4,0.41,9.32
67,productivity,41.54,23,58.8,Male,7.16,4.01,6.81
68,productivity,72.73,28,53.12,Female,5.91,1.04,3.82
69,productivity,68.99,29,58.03,Female,7.17,4.86,7.26
70,productivity,83.71,24,98.34,Male,5.31,2.48,6.04
71,productivity,83.66,19,62.86,Female,4.61,2.97,3.8
72,productivity,93.49,17,83.09,Male,8.86,0.5,7.96
73,productivity,54.73,20,65.56,Male,9.44,6.21,6.85
74,productivity,58.32,18,45.37,Male,7.94,4.82,0.55
75,productivity,54.6,24,47.19,Male,4.13,4.65,8.72
76,productivity,72.49,20,66.84,Female,3.65,5.26,4.27
77,productivity,84.7,18,89.31,Male,6.77,5.31,6.63
78,productivity,66.77,22,55.97,Female,6.85,2.82,4.27
79,productivity,94.99,22,72.38,Male,7.47,2.2,8.87
80,productivity,52.82,26,78.98,Female,9.34,2.38,6.68
81,productivity,54.87,20,96.03,Female,7.53,6.49,6.0
82,productivity,55.21,22,67.86,Female,9.41,1.36,9.81
83,productivity,65.29,29,60.05,Female,3.82,3.89,3.17
84,productivity,65.49,18,76.14,Female,7.96,5.01,1.12
85,productivity,95.75,26,57.81,Male,9.49,4.13,5.4
86,productivity,41.67,28,62.71,Female,6.24,4.43,4.53
87,productivity,53.58,18,64.13,Female,9.77,6.71,4.82
88,productivity,60.35,26,65.34,Female,6.87,2.64,6.39
89,productivity,56.99,20,48.14,Female,9.6,2.77,6.34
90,productivity,78.6,24,46.38,Female,8.24,1.33,4.23
91,productivity,61.54,23,64.74,Male,6.2,6.0,8.7
92,productivity,84.11,28,44.73,Female,3.24,1.66,6.69
93,productivity,82.85,25,67.26,Male,7.6,4.16,8.95
94,productivity,78.47,24,96.71,Male,4.78,6.83,9.17
95,productivity,91.54,21,74.98,Female,5.02,0.79,2.09
96,productivity,76.24,29,40.64,Male,3.14,1.35,6.97
97,productivity,99.38,18,69.4,Male,6.9,1.47,3.52
98,productivity,45.73,21,46.6,Female,5.03,1.08,8.45
99,productivity,88.65,24,68.01,Female,9.88,7.56,7.46
100,productivity,56.78,26,98.46,Female,8.24,5.92,2.39
101,productivity,78.46,25,96.86,Female,5.5,3.64,9.42
102,productivity,95.92,28,65.43,Other,5.06,2.38,6.99
103,productivity,69.63,28,95.38,Male,8.0,0.92,9.51
104,productivity,63.3,28,43.82,Female,4.78,0.19,2.42
105,productivity,94.63,29,49.25,Male,6.14,5.2,8.76
106,productivity,83.2,25,51.51,Male,4.12,4.04,6.85
107,productivity,50.42,29,43.21,Female,4.78,4.74,5.75
108,productivity,95.7,29,76.88,Female,3.69,1.34,8.29
109,productivity,83.65,17,74.84,Male,5.99,4.71,6.51
110,productivity,75.4,25,74.92,Male,9.49,1.64,6.86
111,productivity,44.34,23,55.74,Female,3.71,0.33,2.91
112,productivity,78.69,25,79.28,Female,6.06,6.98,8.26
113,productivity,86.45,24,42.89,Female,5.09,6.62,6.68
114,productivity,71.98,17,53.73,Male,5.54,4.71,8.52
115,productivity,88.38,28,96.94,Female,8.4,7.32,3.84
116,productivity,45.07,24,40.88,Male,6.05,6.18,3.65
117,productivity,49.87,24,47.51,Male,7.55,2.2,0.73
118,productivity,46.49,27,98.22,Female,9.81,7.32,7.8
119,productivity,72.17,19,88.44,Female,7.32,3.11,3.64
120,productivity,92.84,17,82.87,Male,5.36,7.87,3.61
121,productivity,52.94,24,97.36,Male,5.78,5.58,7.04
122,productivity,96.43,19,50.63,Female,7.87,1.67,2.9
123,productivity,46.95,19,67.77,Male,7.86,3.16,9.14
124,productivity,75.14,17,50.49,Male,5.58,5.32,5.61
125,productivity,52.15,27,84.48,Male,8.07,6.31,9.71
126,productivity,85.52,21,91.0,Male,6.85,4.61,1.23
127,productivity,55.63,26,91.72,Male,9.86,5.92,3.7
128,productivity,99.14,23,65.74,Female,9.36,3.85,4.12
129,productivity,94.19,26,87.44,Female,8.77,2.28,7.44
130,productivity,51.89,25,97.39,Female,3.24,5.64,2.52
131,productivity,98.67,28,77.13,Female,5.66,6.6,4.07
132,productivity,44.74,23,91.17,Female,7.01,2.54,9.15
133,productivity,90.46,25,86.55,Female,6.65,3.42,1.59
134,productivity,53.3,24,59.12,Female,8.34,2.7,7.58
135,productivity,62.2,28,94.79,Male,9.36,1.16,7.17
136,productivity,77.49,18,90.64,Female,8.51,6.13,1.74
137,productivity,96.48,17,54.44,Male,4.54,4.08,7.04
138,productivity,55.33,23,44.49,Female,6.4,1.3,5.91
139,productivity,81.78,23,70.56,Female,5.76,2.77,3.23
140,productivity,69.02,24,52.1,Female,8.36,5.93,3.46
141,productivity,86.24,21,69.54,Female,9.27,3.03,8.41
142,productivity,99.32,19,92.56,Male,5.01,0.57,2.69
143,productivity,96.81,28,44.28,Male,6.42,0.84,5.37
144,productivity,61.4,24,48.63,Male,8.12,7.98,6.97
145,productivity,61.76,22,50.3,Male,3.35,3.42,1.73
146,productivity,46.08,27,90.29,Male,9.74,5.09,9.36
147,productivity,91.24,19,45.22,Male,8.6,4.95,2.98
148,productivity,54.75,17,58.65,Male,6.8,1.33,3.53
149,productivity,66.69,19,42.32,Other,8.45,3.19,6.83
150,productivity,78.72,21,86.34,Male,8.85,5.72,1.24
151,productivity,95.82,19,78.45,Male,6.46,3.4,6.46
152,productivity,42.85,17,51.05,Male,6.08,4.71,9.2
153,productivity,72.17,21,53.83,Female,8.86,2.97,2.87
154,productivity,86.27,26,47.1,Male,9.02,2.12,3.94
155,productivity,97.52,23,70.78,Female,3.87,0.15,2.71
156,productivity,56.44,23,45.91,Male,9.35,3.39,8.28
157,productivity,56.26,27,50.05,Female,4.94,3.17,2.09
158,productivity,92.25,25,69.82,Female,7.67,3.68,3.79
159,productivity,89.31,26,84.07,Male,7.97,0.05,6.21
160,productivity,41.77,26,56.89,Male,4.96,4.14,4.34
161,productivity,93.4,28,53.41,Male,5.13,0.94,1.12
162,productivity,52.28,29,85.28,Female,7.94,3.97,9.5
163,productivity,65.44,19,55.17,Male,4.23,2.74,3.71
164,productivity,56.4,23,81.48,Female,9.01,0.35,4.73
165,productivity,90.41,17,70.95,Female,4.56,1.32,2.09
166,productivity,97.38,20,70.36,Female,5.46,2.06,8.72
167,productivity,78.97,29,68.94,Male,4.87,1.87,3.27
168,productivity,42.59,20,44.76,Male,4.72,4.83,0.69
169,productivity,78.57,21,97.96,Female,9.85,0.35,3.51
170,productivity,85.77,23,68.01,Female,4.77,3.55,9.85
171,productivity,87.85,23,65.17,Other,7.05,6.53,1.9
172,productivity,52.85,29,45.66,Female,8.22,2.28,0.8
173,productivity,93.8,27,64.8,Female,3.29,4.84,5.99
174,productivity,54.18,29,84.73,Female,9.17,7.38,4.03
175,productivity,86.84,20,52.46,Female,4.07,6.31,8.05
176,productivity,91.39,29,80.27,Male,7.12,6.65,7.45
177,productivity,87.85,23,84.89,Female,7.49,3.5,2.26
178,productivity,81.1,27,77.38,Male,7.41,0.67,5.86
179,productivity,89.88,19,98.56,Male,8.13,3.89,0.81
180,productivity,90.02,22,66.29,Female,9.52,0.58,4.68
181,productivity,64.58,28,58.43,Male,9.49,3.98,7.28
182,productivity,55.81,18,42.08,Male,7.05,3.98,4.44
183,productivity,79.81,26,54.8,Male,5.59,6.54,1.62
184,productivity,84.37,29,82.3,Female,5.25,4.37,1.08
185,productivity,93.19,25,58.35,Female,9.21,0.81,8.61
186,productivity,81.49,21,58.51,Female,8.97,3.66,8.97
187,productivity,81.94,22,82.53,Male,5.07,5.86,3.76
188,productivity,44.0,28,74.69,Male,4.07,0.83,2.06
189,productivity,73.71,28,65.86,Male,9.03,3.92,9.8
190,productivity,42.87,28,43.6,Male,7.26,4.04,5.69
191,productivity,47.75,28,48.08,Female,5.19,7.45,5.03
192,productivity,92.77,20,67.25,Male,7.27,6.22,7.55
193,productivity,53.89,27,75.35,Male,3.46,1.96,2.1
194,productivity,96.46,26,63.81,Male,4.33,6.46,6.01
195,productivity,78.13,23,54.2,Male,6.82,3.43,8.96
196,productivity,86.3,28,90.55,Male,6.77,3.99,0.72
197,productivity,99.83,25,83.12,Female,4.73,2.96,6.89
198,productivity,75.49,23,94.18,Female,9.87,0.73,5.74
199,productivity,92.31,17,95.05,Female,5.89,7.92,9.53
200,productivity,43.18,17,79.32,Female,7.96,0.69,2.96
201,productivity,67.32,25,63.66,Male,4.81,0.67,8.66
202,productivity,69.43,27,68.56,Female,5.97,0.96,3.44
203,productivity,65.02,25,43.89,Female,8.82,2.21,4.58
204,productivity,45.65,20,46.98,Male,8.94,4.36,2.53
205,productivity,70.21,29,55.66,Female,3.95,6.2,8.7
206,productivity,52.77,25,50.0,Female,5.48,6.11,2.36
207,productivity,86.0,19,46.99,Male,4.42,4.02,8.66
208,productivity,41.08,23,67.07,Female,9.23,6.77,4.83
209,productivity,67.28,22,72.39,Female,8.28,0.17,8.43
210,productivity,75.7,24,89.17,Female,6.94,0.32,3.01
211,productivity,76.16,27,70.74,Female,7.55,5.17,1.76
212,productivity,69.62,25,68.43,Male,9.4,3.72,5.77
213,productivity,97.0,21,59.29,Male,5.12,4.04,5.34
214,productivity,67.27,17,88.22,Female,3.1,1.74,3.89
215,productivity,98.32,19,80.22,Female,3.18,6.7,6.8
216,productivity,83.3,26,50.76,Female,3.33,4.03,1.4
217,productivity,86.63,28,71.85,Male,3.9,1.69,6.41
218,productivity,80.79,24,49.54,Male,7.0,1.11,2.51
219,productivity,93.77,27,82.4,Male,9.87,7.96,1.73
220,productivity,95.88,22,58.59,Male,5.94,5.82,9.14
221,productivity,45.71,24,71.51,Male,7.99,4.26,4.87
222,productivity,90.32,25,40.99,Male,8.55,4.53,7.75
223,productivity,81.01,20,91.54,Male,8.61,0.88,1.35
224,productivity,72.32,17,63.74,Male,6.1,5.77,1.05
225,productivity,75.33,17,41.07,Male,6.85,7.35,5.2
226,productivity,68.69,26,44.34,Other,5.3,7.18,3.5
227,productivity,50.45,20,88.38,Female,7.82,6.3,0.55
228,productivity,69.42,28,87.12,Male,5.68,5.22,2.24
229,productivity,42.39,23,47.95,Female,5.18,2.14,2.58
230,productivity,46.56,18,83.02,Female,7.39,2.76,3.24
231,productivity,51.71,19,72.73,Female,5.39,6.65,8.84
232,productivity,77.63,17,85.49,Male,5.86,5.73,4.5
233,productivity,40.61,21,56.13,Male,7.98,7.92,6.95
234,productivity,66.45,17,44.29,Female,8.97,0.68,0.67
235,productivity,97.99,24,48.78,Male,6.04,2.78,8.23
236,productivity,61.11,17,96.06,Female,6.66,7.04,2.78
237,productivity,93.09,27,53.95,Female,8.22,0.21,3.44
238,productivity,68.11,17,97.26,Other,4.57,2.69,0.93
239,productivity,44.86,18,68.68,Male,5.91,7.79,4.39
240,productivity,89.28,18,66.9,Male,8.68,4.37,8.6
241,productivity,60.0,28,98.13,Male,9.26,2.47,4.1
242,productivity,85.49,22,52.46,Female,7.51,7.44,9.13
243,productivity,79.98,23,82.68,Male,5.75,2.78,8.74
244,productivity,49.03,21,47.43,Female,7.24,1.07,1.09
245,productivity,96.97,17,92.17,Male,4.25,4.63,3.4
246,productivity,59.2,17,42.54,Male,3.21,5.71,9.15
247,productivity,63.39,19,86.24,Male,3.52,0.63,0.78
248,productivity,64.36,18,55.01,Female,3.76,4.98,7.78
249,productivity,78.54,21,75.86,Female,4.58,2.97,9.11
250,productivity,84.69,28,91.27,Male,6.23,1.0,7.82
251,productivity,87.36,26,84.19,Female,4.63,5.09,7.57
252,productivity,40.61,22,97.5,Female,7.1,2.15,8.51
253,productivity,73.36,23,91.19,Female,9.99,1.36,6.83
254,productivity,82.76,20,64.95,Female,6.49,0.75,4.52
255,productivity,59.47,23,62.48,Male,8.3,3.21,1.1
256,productivity,74.08,27,85.73,Male,5.05,4.97,7.99
257,productivity,71.11,24,57.47,Female,9.74,7.8,9.1
258,productivity,56.7,27,61.88,Male,4.74,2.7,5.36
259,productivity,43.23,17,90.73,Male,7.18,4.9,5.56
260,productivity,79.73,22,48.03,Male,9.88,0.94,4.33
261,productivity,53.23,24,41.32,Female,8.66,7.49,8.64
262,productivity,67.39,21,97.19,Male,9.94,5.93,0.64
263,productivity,66.76,20,52.98,Female,5.66,5.69,6.43
264,productivity,95.53,18,48.83,Male,3.54,4.38,9.12
265,productivity,81.19,22,75.3,Other,4.7,4.51,1.48
266,productivity,52.7,22,93.65,Male,9.7,3.57,9.61
267,productivity,60.61,27,63.7,Female,5.59,0.37,9.69
268,productivity,43.62,17,81.3,Female,3.87,0.56,9.33
269,productivity,71.28,25,77.68,Female,7.15,1.54,4.89
270,productivity,83.77,28,64.71,Male,6.5,1.51,4.14
271,productivity,49.61,27,45.29,Female,3.44,0.46,7.21
272,productivity,69.34,22,95.66,Male,6.17,3.97,3.53
273,productivity,73.12,29,98.71,Male,7.43,4.07,1.15
274,productivity,99.88,19,72.77,Female,4.63,4.8,9.06
275,productivity,71.81,20,47.24,Female,3.87,6.3,6.53
276,productivity,64.12,28,82.57,Female,9.05,7.49,2.47
277,productivity,46.61,27,43.93,Female,7.38,7.58,0.67
278,productivity,46.3,20,75.54,Male,4.09,7.2,7.37
279,productivity,52.77,19,69.3,Female,7.4,5.93,8.6
280,productivity,81.36,26,43.12,Male,8.15,5.36,4.35
281,productivity,45.35,19,49.23,Female,7.18,0.94,1.27
282,productivity,61.68,19,48.31,Female,3.81,5.25,6.66
283,productivity,69.56,20,82.63,Female,3.87,1.26,3.32
284,productivity,66.94,23,85.8,Male,3.32,5.96,1.87
285,productivity,76.82,20,45.94,Female,4.64,1.3,5.35
286,productivity,64.54,25,61.02,Male,3.42,5.45,5.08
287,productivity,67.12,17,47.74,Male,8.64,0.58,5.41
288,productivity,64.81,24,95.01,Male,3.11,2.51,8.33
289,productivity,79.24,23,43.55,Female,7.07,2.99,5.1
290,productivity,66.75,18,64.18,Male,8.67,2.51,9.06
291,productivity,59.49,24,54.44,Male,9.26,2.49,8.5
292,productivity,53.88,17,96.18,Male,5.87,4.26,6.69
293,productivity,89.96,27,92.6,Male,7.35,6.59,1.04
294,productivity,68.36,28,61.45,Female,9.66,6.99,8.72
295,productivity,58.29,25,66.09,Female,7.7,0.59,9.1
296,productivity,82.43,25,45.48,Male,9.31,1.54,4.06
297,productivity,52.08,18,63.86,Female,7.79,2.47,5.5
298,productivity,91.4,23,73.18,Female,3.48,5.47,3.17
299,productivity,51.65,26,62.26,Female,4.38,3.22,0.64
300,productivity,72.78,19,45.09,Female,9.58,3.81,5.05
301,productivity,94.44,23,52.8,Male,8.91,6.28,1.73
302,productivity,96.75,28,56.07,Female,5.96,5.14,2.24
303,productivity,79.51,26,86.22,Male,4.13,4.7,5.07
304,productivity,49.11,25,52.2,Male,4.1,4.64,8.74
305,productivity,74.44,20,81.46,Female,9.33,1.59,8.52
306,productivity,73.27,28,58.81,Female,4.16,0.89,9.67
307,productivity,68.13,17,46.65,Male,5.7,2.61,5.09
308,productivity,67.56,18,70.11,Male,9.31,6.15,5.74
309,productivity,73.15,17,89.51,Female,3.23,6.83,8.31
310,productivity,80.97,28,58.24,Female,7.42,6.38,7.15
311,productivity,45.98,21,75.26,Female,5.45,1.26,2.24
312,productivity,90.77,21,89.65,Male,3.75,7.35,4.28
313,productivity,90.21,27,56.03,Female,6.97,3.1,9.33
314,productivity,42.61,23,45.51,Male,6.39,6.7,1.89
315,productivity,45.55,25,53.49,Male,3.69,5.01,2.49
316,productivity,44.0,25,91.49,Male,4.87,6.35,4.31
317,productivity,49.88,19,59.7,Female,8.18,0.24,9.43
318,productivity,62.31,19,50.63,Female,8.29,3.48,1.58
319,productivity,48.63,19,70.26,Female,7.19,4.85,6.89
320,productivity,71.89,20,77.08,Female,3.77,2.96,1.76
321,productivity,91.71,24,67.74,Male,8.97,6.32,5.48
322,productivity,50.26,22,59.44,Male,4.21,5.79,5.6
323,productivity,60.53,24,69.53,Male,8.05,3.12,0.9
324,productivity,73.96,17,94.2,Female,3.3,3.51,9.56
325,productivity,94.03,24,78.84,Female,5.32,3.93,8.16
326,productivity,92.36,20,65.88,Other,6.35,4.36,3.38
327,productivity,55.1,27,88.88,Female,3.2,2.39,1.74
328,productivity,56.99,17,40.12,Female,4.2,1.83,3.78
329,productivity,69.19,24,51.79,Female,5.23,0.9,9.0
330,productivity,72.07,20,72.26,Female,9.88,1.12,1.76
331,productivity,70.41,22,79.34,Female,8.46,3.74,3.82
332,productivity,76.28,24,69.55,Female,8.88,5.32,5.2
333,productivity,51.4,20,79.04,Female,7.67,5.33,0.81
334,productivity,86.57,19,76.69,Female,5.05,3.65,3.05
335,productivity,62.3,25,73.88,Male,7.97,4.95,6.16
336,productivity,95.2,19,48.67,Male,7.72,7.67,3.58
337,productivity,74.85,25,66.53,Male,7.27,7.86,8.77
338,productivity,40.49,29,66.38,Male,5.09,6.76,9.4
339,productivity,46.34,18,53.72,Female,4.84,7.32,4.69
340,productivity,67.11,18,93.68,Male,5.35,1.09,5.55
341,productivity,57.57,18,92.77,Male,5.19,2.23,6.49
342,productivity,92.01,22,58.13,Male,3.54,7.63,6.81
343,productivity,93.93,19,53.07,Female,8.62,1.04,1.1
344,productivity,44.11,29,63.52,Male,5.58,7.0,1.01
345,productivity,43.61,25,42.07,Male,7.95,3.51,8.72
346,productivity,65.95,20,93.83,Male,4.96,7.8,2.59
347,productivity,56.21,17,51.48,Male,7.21,5.73,6.05
348,productivity,94.78,20,53.44,Female,3.24,2.7,6.43
349,productivity,83.1,17,66.94,Male,3.74,0.94,2.06
350,productivity,97.9,21,74.65,Female,5.55,1.91,7.74
351,productivity,74.3,20,66.34,Female,4.88,5.63,8.73
352,productivity,53.31,24,70.16,Other,5.47,2.57,3.21
353,productivity,63.94,24,92.44,Male,9.51,7.59,8.84
354,productivity,51.94,23,88.97,Male,3.52,4.28,1.27
355,productivity,93.65,19,40.66,Male,6.24,4.2,8.1
356,productivity,50.13,17,68.98,Male,4.39,6.46,6.58
357,productivity,40.3,17,84.21,Female,5.49,6.38,6.04
358,productivity,75.6,28,81.84,Male,7.74,5.5,2.69
359,productivity,78.36,27,61.44,Male,9.81,7.62,3.94
360,productivity,61.15,19,81.01,Female,7.86,4.64,9.15
361,productivity,87.08,22,78.0,Female,9.19,7.2,4.92
362,productivity,99.28,23,55.62,Male,4.03,3.76,6.15
363,productivity,86.93,22,52.6,Male,4.27,6.1,9.39
364,productivity,58.27,22,44.32,Male,9.14,1.87,4.93
365,productivity,41.64,22,66.16,Female,7.25,6.8,4.19
366,productivity,98.92,29,71.07,Female,8.54,2.82,8.99
367,productivity,71.66,19,42.36,Female,4.56,5.81,9.15
368,productivity,57.35,22,64.11,Female,5.44,2.58,3.87
369,productivity,58.83,24,45.48,Female,3.57,7.63,6.12
370,productivity,53.86,27,44.51,Male,9.27,1.53,9.66
371,productivity,54.71,27,57.23,Male,9.69,4.22,1.03
372,productivity,84.66,18,71.21,Female,9.0,3.16,0.88
373,productivity,92.96,21,76.65,Female,6.06,4.28,5.41
374,productivity,97.88,17,73.86,Male,5.39,1.85,3.27
375,productivity,59.27,28,97.81,Female,6.24,4.03,6.03
376,productivity,42.07,17,53.57,Female,7.46,1.05,7.38
377,productivity,62.5,21,66.73,Male,6.02,1.85,1.16
378,productivity,85.47,28,70.06,Female,5.95,5.38,8.88
379,productivity,42.86,29,52.43,Male,6.02,3.75,3.13
380,productivity,57.82,19,54.79,Female,8.21,3.98,4.12
381,productivity,67.25,20,78.96,Male,8.51,7.45,3.7
382,productivity,47.18,19,91.5,Female,9.09,1.72,8.48
383,productivity,53.05,17,64.7,Female,4.7,4.41,2.12
384,productivity,53.56,17,75.38,Male,4.1,4.25,0.77
385,productivity,52.17,28,98.99,Female,5.42,3.56,9.73
386,productivity,44.69,28,86.62,Female,5.94,6.64,9.82
387,productivity,94.26,29,46.7,Female,7.91,4.53,2.95
388,productivity,41.25,21,99.97,Male,8.31,6.56,0.59
389,productivity,73.06,22,81.74,Female,9.89,6.88,6.64
390,productivity,56.39,19,49.52,Male,5.65,0.57,6.66
391,productivity,77.07,28,53.96,Male,5.82,7.5,9.43
392,productivity,82.63,25,80.42,Male,6.79,6.11,3.34
393,productivity,79.02,21,90.4,Male,8.74,3.87,2.3
394,productivity,92.28,24,71.22,Female,7.63,6.56,6.36
395,productivity,90.63,29,74.25,Male,7.01,1.84,5.85
396,productivity,43.45,17,51.75,Male,7.54,6.56,7.32
397,productivity,55.01,21,76.78,Female,6.25,4.45,8.91
398,productivity,62.6,19,74.89,Female,8.31,3.55,5.82
399,productivity,72.66,28,66.28,Female,3.53,4.57,1.93
400,productivity,99.93,17,43.25,Male,6.56,5.73,6.18
401,productivity,62.52,20,79.69,Female,8.65,2.22,4.05
402,productivity,49.37,29,71.13,Male,5.12,0.78,4.8
403,productivity,73.76,21,69.16,Other,8.9,7.25,9.62
404,productivity,83.68,23,97.87,Female,8.48,7.6,5.77
405,productivity,41.19,17,74.63,Female,7.06,5.0,1.92
406,productivity,61.17,19,95.88,Male,4.77,4.09,4.71
407,productivity,48.28,18,81.21,Male,9.03,0.43,2.67
408,productivity,94.34,25,51.7,Male,3.21,3.33,1.79
409,productivity,74.57,26,73.4,Male,7.15,2.72,7.27
410,productivity,58.78,22,84.81,Male,8.48,3.07,6.47
411,productivity,41.6,26,84.8,Female,6.4,5.75,5.23
412,productivity,44.48,19,46.83,Male,3.72,2.89,4.52
413,productivity,78.47,24,46.19,Female,8.84,6.33,3.56
414,productivity,40.63,24,41.36,Male,9.36,7.93,1.34
415,productivity,78.36,18,78.96,Male,6.94,4.37,3.34
416,productivity,77.01,22,63.71,Female,8.51,2.22,8.46
417,productivity,79.81,23,87.75,Female,7.28,7.66,7.94
418,productivity,65.05,18,92.42,Male,7.01,5.85,9.74
419,productivity,65.82,27,86.2,Male,3.92,1.8,6.73
420,productivity,65.97,26,70.17,Female,6.06,7.96,5.76
421,productivity,53.79,18,70.16,Male,7.75,0.08,3.31
422,productivity,57.23,26,48.51,Male,6.18,4.61,1.23
423,productivity,66.32,17,77.29,Female,7.32,5.48,6.37
424,productivity,62.06,24,60.54,Male,9.26,1.46,5.14
425,productivity,78.91,17,44.68,Male,5.56,0.41,7.71
426,productivity,52.74,25,79.88,Female,8.8,0.06,4.41
427,productivity,49.01,27,78.73,Female,3.2,7.41,9.86
428,productivity,81.32,22,41.99,Male,8.97,4.66,4.28
429,productivity,85.77,23,98.88,Female,3.75,1.37,3.66
430,productivity,65.7,29,44.16,Male,5.25,4.93,8.77
431,productivity,65.62,26,50.98,Female,6.59,0.02,4.26
432,productivity,93.03,23,82.39,Female,7.55,2.99,8.77
433,productivity,41.07,26,85.81,Male,9.67,6.14,0.76
434,productivity,94.97,19,59.27,Male,5.15,0.8,7.08
435,productivity,81.17,18,77.92,Male,3.6,4.83,1.18
436,productivity,89.72,25,60.03,Female,6.21,2.53,1.91
437,productivity,86.29,24,59.8,Female,5.42,0.79,7.15
438,productivity,59.81,29,95.7,Male,7.2,6.6,3.25
439,productivity,98.66,28,82.9,Male,9.46,4.39,2.5
440,productivity,78.7,26,71.04,Male,7.5,6.33,8.11
441,productivity,81.67,23,53.61,Male,7.05,7.75,9.49
442,productivity,77.29,25,58.48,Male,4.72,1.47,2.71
443,productivity,86.47,20,94.89,Female,4.85,1.1,3.51
444,productivity,71.32,29,73.21,Female,6.05,7.85,7.28
445,productivity,73.65,20,72.73,Other,9.24,1.87,8.25
446,productivity,92.73,17,61.32,Female,7.06,3.42,9.99
447,productivity,67.38,24,46.79,Female,6.46,6.69,3.1
448,productivity,83.32,28,70.42,Female,6.8,1.84,5.79
